timestamp,node_id,job_id,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_wait,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_wait_delta
1775001924.316606,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3714863,7351413,0,,,
1775001924.8167343,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3743180,11791694,0,28317,4440281,0
1775001925.3168762,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3771547,17029577,0,28367,5237883,0
1775001925.8169992,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3870104,44945206,0,98557,27915629,0
1775001926.317112,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3897513,53144400,0,27409,8199194,0
1775001926.8172436,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3934234,63302591,0,36721,10158191,0
1775001927.3173392,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3947675,65062646,0,13441,1760055,0
1775001927.8174508,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3953477,65353993,0,5802,291347,0
1775001928.3175478,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3964391,65762438,0,10914,408445,0
1775001928.81767,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3983265,67938950,0,18874,2176512,0
1775001929.3177934,g7.hpc.coe,28818,0,0.0,0.0,12288.0,3991548,68191484,0,8283,252534,0
1775001929.8178775,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4006422,68683178,0,14874,491694,0
1775001930.3179495,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4022617,69012997,0,16195,329819,0
1775001930.818051,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4042376,69669804,0,19759,656807,0
1775001931.318119,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4062664,69937333,0,20288,267529,0
1775001931.818226,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4077942,70181748,0,15278,244415,0
1775001932.3183472,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4091421,70434996,0,13479,253248,0
1775001932.8184743,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4117163,70710542,0,25742,275546,0
1775001933.3185508,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4144793,70968624,0,27630,258082,0
1775001933.8186398,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4164410,71445943,0,19617,477319,0
1775001934.318724,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4200069,71869515,0,35659,423572,0
1775001934.8188322,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4218034,72058085,0,17965,188570,0
1775001935.3189378,g7.hpc.coe,28818,0,0.0,0.0,12288.0,4257487,72130194,0,39453,72109,0
1775001935.819028,g7.hpc.coe,28818,0,0.0,3.0,12288.0,4263865,73542498,0,6378,1412304,0
1775001936.3190968,g7.hpc.coe,28818,0,10.0,341.0,12288.0,4286052,79182170,0,22187,5639672,0
1775001936.819254,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9517777,85891620,0,5231725,6709450,0
1775001937.3193905,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9527002,86143401,0,9225,251781,0
1775001937.8195097,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9539616,86606545,0,12614,463144,0
1775001938.319632,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9553143,87129760,0,13527,523215,0
1775001938.8197417,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9568122,87533947,0,14979,404187,0
1775001939.3198473,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9586348,88443098,0,18226,909151,0
1775001939.8199778,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9605912,88994563,0,19564,551465,0
1775001940.320113,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9624281,89349800,0,18369,355237,0
1775001940.8202374,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9651891,90272589,0,27610,922789,0
1775001941.3203537,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9693210,100609841,0,41319,10337252,0
1775001941.8204906,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9703983,100755092,0,10773,145251,0
1775001942.3206115,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9714232,100891721,0,10249,136629,0
1775001942.8207436,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9720719,100977735,0,6487,86014,0
1775001943.3208203,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9731429,101212139,0,10710,234404,0
1775001943.8209543,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9760450,101651838,0,29021,439699,0
1775001944.3210833,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9798702,102104430,0,38252,452592,0
1775001944.8212154,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9824766,103829509,0,26064,1725079,0
1775001945.32134,g7.hpc.coe,28818,0,0.0,419.0,12288.0,9848031,104198011,0,23265,368502,0
1775001945.8214421,g7.hpc.coe,28818,0,0.0,473.0,12288.0,9893758,110480423,0,45727,6282412,0
1775001946.3215656,g7.hpc.coe,28818,0,19.0,2035.0,12288.0,9960048,128053046,0,66290,17572623,0
1775001946.8216622,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,11018202,128952942,1541,1058154,899896,1541
1775001947.321752,g7.hpc.coe,28818,0,99.0,2035.0,12288.0,37753235,157325032,3394,26735033,28372090,1853
1775001947.821847,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,73180471,192722203,3479,35427236,35397171,85
